filename,sequence_id,sequence_length,background,cluster
All_Toxins_complete_v4,Hal11_6,80,False,15
All_Toxins_complete_v4,Hal12_6,80,False,2
All_Toxins_complete_v4,Hal13_6,79,False,2
All_Toxins_complete_v4,Hal14_6,90,False,2
All_Toxins_complete_v4,Hal2_6,81,False,15
All_Toxins_complete_v4,Hal3_6,70,False,19
All_Toxins_complete_v4,Hal4_6,86,False,4
All_Toxins_complete_v4,Hal5_6,105,False,4
All_Toxins_complete_v4,Hal6_6,101,False,1
All_Toxins_complete_v4,Hal7_6,101,False,1
All_Toxins_complete_v4,Hal8_6,97,False,4
All_Toxins_complete_v4,Hal9_6,77,False,2
All_Toxins_complete_v4,Hal1_8,120,False,1
All_Toxins_complete_v4,Hal10_8,130,False,1
All_Toxins_complete_v4,Hal11_8,104,False,0
All_Toxins_complete_v4,Hal12_8,128,False,1
All_Toxins_complete_v4,Hal2_8,120,False,1
All_Toxins_complete_v4,Hal3_8,109,False,0
All_Toxins_complete_v4,Hal4_8,112,False,7
All_Toxins_complete_v4,Hal5_8,136,False,1
All_Toxins_complete_v4,Hal6_8,139,False,1
All_Toxins_complete_v4,Hal7_8,120,False,1
All_Toxins_complete_v4,Hal8_8,124,False,1
All_Toxins_complete_v4,Hal9_8,101,False,0
All_Toxins_complete_v4,Hal1_9,88,False,8
All_Toxins_complete_v4,Hal10_9,84,False,8
All_Toxins_complete_v4,Hal11_9,79,False,3
All_Toxins_complete_v4,Hal12_9,119,False,4
All_Toxins_complete_v4,Hal13_9,88,False,4
All_Toxins_complete_v4,Hal14_9,92,False,3
All_Toxins_complete_v4,Hal15_9,104,False,1
All_Toxins_complete_v4,Hal16_9,104,False,4
All_Toxins_complete_v4,Hal17_9,90,False,2
All_Toxins_complete_v4,Hal18_9,89,False,2
All_Toxins_complete_v4,Hal19_9,102,False,4
All_Toxins_complete_v4,Hal2_9,91,False,4
All_Toxins_complete_v4,Hal20_9,100,False,4
All_Toxins_complete_v4,Hal3_9,86,False,4
All_Toxins_complete_v4,Hal4_9,89,False,1
All_Toxins_complete_v4,Hal5_9,123,False,1
All_Toxins_complete_v4,Hal6_9,93,False,4
All_Toxins_complete_v4,Hal7_9,95,False,4
All_Toxins_complete_v4,Hal8_9,78,False,8
All_Toxins_complete_v4,Hal9_9,79,False,8
All_Toxins_complete_v4,Hal9_Novel,90,False,15
All_Toxins_complete_v4,Hhe22_Novel,132,False,1
All_Toxins_complete_v4,Hhe23_Novel,138,False,1
All_Toxins_complete_v4,Hhe21_Novel,71,False,4
All_Toxins_complete_v4,Hhe24_Novel,83,False,8
All_Toxins_complete_v4,Hhe1_Novel,118,False,0
All_Toxins_complete_v4,Hhe1_1,62,False,16
All_Toxins_complete_v4,Hhe2_1,61,False,16
All_Toxins_complete_v4,Hhe1_11,72,False,4
All_Toxins_complete_v4,Hhe1_12,148,False,1
All_Toxins_complete_v4,Hhe1_15,89,False,5
All_Toxins_complete_v4,Hhe2_15,77,False,1
All_Toxins_complete_v4,Hhe1_22,95,False,1
All_Toxins_complete_v4,Hhe2_22,90,False,13
All_Toxins_complete_v4,Hhe3_22,97,False,1
All_Toxins_complete_v4,Hhe4_22,97,False,1
All_Toxins_complete_v4,Hhe5_22,142,False,1
All_Toxins_complete_v4,Hhe1_6,90,False,2
All_Toxins_complete_v4,Hhe2_6,70,False,19
All_Toxins_complete_v4,Hhe3_6,86,False,4
All_Toxins_complete_v4,Hhe4_6,77,False,2
All_Toxins_complete_v4,Hhe5_6,86,False,4
All_Toxins_complete_v4,Hhe6_6,100,False,1
All_Toxins_complete_v4,Hhe7_6,81,False,15
All_Toxins_complete_v4,Hhe1_8,133,False,1
All_Toxins_complete_v4,Hhe2_8,136,False,1
All_Toxins_complete_v4,Hhe3_8,136,False,1
All_Toxins_complete_v4,Hhe4_8,104,False,0
All_Toxins_complete_v4,Hhe5_8,120,False,1
All_Toxins_complete_v4,Hhe6_8,124,False,1
All_Toxins_complete_v4,Hhe7_8,111,False,6
All_Toxins_complete_v4,Hhe1_9,104,False,1
All_Toxins_complete_v4,Hhe2_9,93,False,1
All_Toxins_complete_v4,Hhe3_9,100,False,4
All_Toxins_complete_v4,Hma30_33,141,False,3
All_Toxins_complete_v4,Hma28_Novel,91,False,1
All_Toxins_complete_v4,Hma25_Novel,107,False,1
All_Toxins_complete_v4,Hma26_Novel,98,False,8
All_Toxins_complete_v4,Hma27_Novel,94,False,8
All_Toxins_complete_v4,Hma29_Novel,133,False,21
All_Toxins_complete_v4,Hma1_14,65,False,4
All_Toxins_complete_v4,Hma1_16,78,False,1
All_Toxins_complete_v4,Hma1_22,108,False,3
All_Toxins_complete_v4,Hma2_22,107,False,0
All_Toxins_complete_v4,Hma3_22,91,False,1
All_Toxins_complete_v4,Hma4_22,92,False,7
All_Toxins_complete_v4,Hma1_6,97,False,1
All_Toxins_complete_v4,Hma2_6,76,False,15
All_Toxins_complete_v4,Hma1_8,125,False,6
All_Toxins_complete_v4,Hma2_8,112,False,6
All_Toxins_complete_v4,Hma3_8,125,False,1
All_Toxins_complete_v4,Hma4_8,139,False,1
All_Toxins_complete_v4,Hma5_8,129,False,1
All_Toxins_complete_v4,Hma6_8,132,False,1
All_Toxins_complete_v4,Hma7_8,113,False,1
All_Toxins_complete_v4,Hma1_9,147,False,1
All_Toxins_complete_v4,Hma2_9,92,False,8
All_Toxins_complete_v4,Hma3_9,96,False,8
All_Toxins_complete_v4,Hma4_9,84,False,3
All_Toxins_complete_v4,Hma5_9,83,False,3
All_Toxins_complete_v4,Hma6_9,78,False,3
All_Toxins_complete_v4,Hso46_33,133,False,3
All_Toxins_complete_v4,Hso47_Novel,138,False,1
All_Toxins_complete_v4,Hso49_Novel,132,False,1
All_Toxins_complete_v4,Hso50_33,144,False,3
All_Toxins_complete_v4,Hso48_Novel,75,False,4
All_Toxins_complete_v4,Hso51_Novel,71,False,3
All_Toxins_complete_v4,Hso52_Novel,64,False,7
All_Toxins_complete_v4,Hso43_Novel,120,False,1
All_Toxins_complete_v4,Hso44_Novel,114,False,1
All_Toxins_complete_v4,Hso45_Novel,98,False,1
All_Toxins_complete_v4,Hso53_Novel,107,False,1
All_Toxins_complete_v4,Hso1_1,62,False,16
All_Toxins_complete_v4,Hso1_11,74,False,4
All_Toxins_complete_v4,Hso2_11,68,False,4
All_Toxins_complete_v4,Hso1_12,85,False,15
All_Toxins_complete_v4,Hso1_13,84,False,4
All_Toxins_complete_v4,Hso1_14,72,False,4
All_Toxins_complete_v4,Hso2_14,71,False,4
All_Toxins_complete_v4,Hso1_15,89,False,5
All_Toxins_complete_v4,Hso2_15,90,False,5
All_Toxins_complete_v4,Hso3_15,77,False,1
All_Toxins_complete_v4,Hso4_15,76,False,1
All_Toxins_complete_v4,Hso5_15,77,False,1
All_Toxins_complete_v4,Hso1_22,97,False,1
All_Toxins_complete_v4,Hso2_22,97,False,1
All_Toxins_complete_v4,Hso3_22,95,False,1
All_Toxins_complete_v4,Hso4_22,142,False,1
All_Toxins_complete_v4,Hso5_22,119,False,1
All_Toxins_complete_v4,Hso6_22,90,False,1
All_Toxins_complete_v4,Hso7_22,90,False,13
All_Toxins_complete_v4,Hso8_22,99,False,1
All_Toxins_complete_v4,Hso1_6,90,False,2
All_Toxins_complete_v4,Hso10_6,86,False,4
All_Toxins_complete_v4,Hso11_6,86,False,4
All_Toxins_complete_v4,Hso12_6,100,False,1
All_Toxins_complete_v4,Hso13_6,81,False,15
All_Toxins_complete_v4,Hso14_6,70,False,19
All_Toxins_complete_v4,Hso15_6,73,False,19
All_Toxins_complete_v4,Hso16_6,79,False,2
All_Toxins_complete_v4,Hso17_6,82,False,4
All_Toxins_complete_v4,Hso18_6,81,False,4
All_Toxins_complete_v4,Hso2_6,79,False,15
All_Toxins_complete_v4,Hso3_6,74,False,2
All_Toxins_complete_v4,Hso4_6,77,False,2
All_Toxins_complete_v4,Hso5_6,78,False,2
All_Toxins_complete_v4,Hso6_6,82,False,15
All_Toxins_complete_v4,Hso7_6,105,False,4
All_Toxins_complete_v4,Hso8_6,86,False,4
All_Toxins_complete_v4,Hso9_6,82,False,4
All_Toxins_complete_v4,Hso1_8,128,False,1
All_Toxins_complete_v4,Hso10_8,104,False,0
All_Toxins_complete_v4,Hso11_8,133,False,1
All_Toxins_complete_v4,Hso12_8,120,False,1
All_Toxins_complete_v4,Hso13_8,141,False,22
All_Toxins_complete_v4,Hso14_8,165,False,1
All_Toxins_complete_v4,Hso15_8,130,False,1
All_Toxins_complete_v4,Hso16_8,134,False,1
All_Toxins_complete_v4,Hso17_8,122,False,1
All_Toxins_complete_v4,Hso18_8,120,False,1
All_Toxins_complete_v4,Hso19_8,120,False,1
All_Toxins_complete_v4,Hso2_8,128,False,1
All_Toxins_complete_v4,Hso20_8,121,False,1
All_Toxins_complete_v4,Hso21_8,135,False,1
All_Toxins_complete_v4,Hso22_8,128,False,1
All_Toxins_complete_v4,Hso23_8,111,False,6
All_Toxins_complete_v4,Hso24_8,123,False,1
All_Toxins_complete_v4,Hso25_8,130,False,1
All_Toxins_complete_v4,Hso26_8,139,False,1
All_Toxins_complete_v4,Hso3_8,136,False,1
All_Toxins_complete_v4,Hso4_8,135,False,1
All_Toxins_complete_v4,Hso5_8,135,False,1
All_Toxins_complete_v4,Hso6_8,137,False,1
All_Toxins_complete_v4,Hso7_8,136,False,1
All_Toxins_complete_v4,Hso8_8,140,False,22
All_Toxins_complete_v4,Hso9_8,104,False,0
All_Toxins_complete_v4,Hso1_9,100,False,4
All_Toxins_complete_v4,Hso10_9,104,False,4
All_Toxins_complete_v4,Hso11_9,88,False,8
All_Toxins_complete_v4,Hso12_9,90,False,2
All_Toxins_complete_v4,Hso13_9,92,False,3
All_Toxins_complete_v4,Hso14_9,104,False,1
All_Toxins_complete_v4,Hso15_9,123,False,1
All_Toxins_complete_v4,Hso16_9,79,False,3
All_Toxins_complete_v4,Hso17_9,93,False,1
All_Toxins_complete_v4,Hso2_9,88,False,4
All_Toxins_complete_v4,Hso3_9,95,False,4
All_Toxins_complete_v4,Hso4_9,124,False,3
All_Toxins_complete_v4,Hso5_9,85,False,8
All_Toxins_complete_v4,Hso6_9,78,False,8
All_Toxins_complete_v4,Hso7_9,86,False,4
All_Toxins_complete_v4,Hso8_9,91,False,4
All_Toxins_complete_v4,Hso9_9,91,False,4
All_Toxins_complete_v4,Hst32_Novel,110,False,0
All_Toxins_complete_v4,Hst36_33,136,False,1
All_Toxins_complete_v4,Hst39_Novel,138,False,1
All_Toxins_complete_v4,Hst40_Novel,133,False,1
All_Toxins_complete_v4,Hst41_33,132,False,3
All_Toxins_complete_v4,Hst42_33,133,False,3
All_Toxins_complete_v4,Hst37_Novel,140,False,1
All_Toxins_complete_v4,Hst33_Novel,81,False,2
All_Toxins_complete_v4,Hst31_Novel,101,False,0
All_Toxins_complete_v4,Hst34_Novel,107,False,1
All_Toxins_complete_v4,Hst35_Novel,141,False,1
All_Toxins_complete_v4,Hst38_Novel,83,False,5
All_Toxins_complete_v4,Hst1_1,60,False,16
All_Toxins_complete_v4,Hst2_1,62,False,16
All_Toxins_complete_v4,Hst1_11,72,False,4
All_Toxins_complete_v4,Hst2_11,89,False,4
All_Toxins_complete_v4,Hst1_12,117,False,1
All_Toxins_complete_v4,Hst1_13,95,False,4
All_Toxins_complete_v4,Hst2_13,86,False,4
All_Toxins_complete_v4,Hst3_13,81,False,4
All_Toxins_complete_v4,Hst1_14,73,False,4
All_Toxins_complete_v4,Hst2_14,115,False,1
All_Toxins_complete_v4,Hst1_15,88,False,1
All_Toxins_complete_v4,Hst1_22,136,False,1
All_Toxins_complete_v4,Hst10_22,99,False,1
All_Toxins_complete_v4,Hst11_22,90,False,13
All_Toxins_complete_v4,Hst12_Novel,148,False,1
All_Toxins_complete_v4,Hst13_22,124,False,1
All_Toxins_complete_v4,Hst14_22,91,False,1
All_Toxins_complete_v4,Hst15_22,122,False,1
All_Toxins_complete_v4,Hst16_22,123,False,1
All_Toxins_complete_v4,Hst17_22,94,False,1
All_Toxins_complete_v4,Hst2_22,105,False,1
All_Toxins_complete_v4,Hst3_22,88,False,1
All_Toxins_complete_v4,Hst5_22,120,False,1
All_Toxins_complete_v4,Hst6_22,115,False,1
All_Toxins_complete_v4,Hst7_22,129,False,1
All_Toxins_complete_v4,Hst8_22,88,False,0
All_Toxins_complete_v4,Hst9_22,99,False,1
All_Toxins_complete_v4,Hst1_6,93,False,1
All_Toxins_complete_v4,Hst10_6,94,False,4
All_Toxins_complete_v4,Hst11_6,82,False,15
All_Toxins_complete_v4,Hst12_6,82,False,4
All_Toxins_complete_v4,Hst13_6,82,False,4
All_Toxins_complete_v4,Hst14_6,98,False,4
All_Toxins_complete_v4,Hst15_6,98,False,4
All_Toxins_complete_v4,Hst16_6,90,False,1
All_Toxins_complete_v4,Hst17_6,83,False,4
All_Toxins_complete_v4,Hst2_6,96,False,1
All_Toxins_complete_v4,Hst3_6,96,False,1
All_Toxins_complete_v4,Hst4_6,80,False,15
All_Toxins_complete_v4,Hst5_6,100,False,1
All_Toxins_complete_v4,Hst6_6,74,False,19
All_Toxins_complete_v4,Hst7_6,74,False,19
All_Toxins_complete_v4,Hst8_6,99,False,1
All_Toxins_complete_v4,Hst9_6,90,False,1
All_Toxins_complete_v4,Hst1_8,125,False,1
All_Toxins_complete_v4,Hst10_8,129,False,1
All_Toxins_complete_v4,Hst11_8,129,False,1
All_Toxins_complete_v4,Hst2_8,128,False,1
All_Toxins_complete_v4,Hst3_8,115,False,7
All_Toxins_complete_v4,Hst4_8,120,False,1
All_Toxins_complete_v4,Hst5_8,128,False,1
All_Toxins_complete_v4,Hst6_8,129,False,1
All_Toxins_complete_v4,Hst7_8,111,False,6
All_Toxins_complete_v4,Hst8_8,110,False,6
All_Toxins_complete_v4,Hst9_8,110,False,6
All_Toxins_complete_v4,Hst1_9,91,False,2
All_Toxins_complete_v4,Hst2_9,91,False,2
All_Toxins_complete_v4,Hst3_9,80,False,11
All_Toxins_complete_v4,Hst4_9,84,False,3
All_Toxins_complete_v4,Hst5_9,88,False,8
All_Toxins_complete_v4,Mki55_33,133,False,3
All_Toxins_complete_v4,Mki54_Novel,107,False,1
All_Toxins_complete_v4,Mki1_1,61,False,16
All_Toxins_complete_v4,Mki2_1,61,False,16
All_Toxins_complete_v4,Mki3_1,61,False,16
All_Toxins_complete_v4,Mki4_1,62,False,16
All_Toxins_complete_v4,Mki5_1,63,False,16
All_Toxins_complete_v4,Mki1_11,72,False,4
All_Toxins_complete_v4,Mki1_12,117,False,1
All_Toxins_complete_v4,Mki1_14,79,False,4
All_Toxins_complete_v4,Mki2_14,79,False,4
All_Toxins_complete_v4,Mki1_15,77,False,1
All_Toxins_complete_v4,Mki1_22,89,False,1
All_Toxins_complete_v4,Mki2_22,99,False,1
All_Toxins_complete_v4,Mki3_22,108,False,1
All_Toxins_complete_v4,Mki1_6,99,False,1
All_Toxins_complete_v4,Mki10_6,89,False,1
All_Toxins_complete_v4,Mki11_6,77,False,15
All_Toxins_complete_v4,Mki12_6,71,False,19
All_Toxins_complete_v4,Mki13_6,81,False,4
All_Toxins_complete_v4,Mki2_6,83,False,1
All_Toxins_complete_v4,Mki3_6,100,False,1
All_Toxins_complete_v4,Mki4_6,100,False,1
All_Toxins_complete_v4,Mki5_6,100,False,1
All_Toxins_complete_v4,Mki6_6,100,False,1
All_Toxins_complete_v4,Mki7_6,65,False,19
All_Toxins_complete_v4,Mki8_6,65,False,19
All_Toxins_complete_v4,Mki9_6,96,False,1
All_Toxins_complete_v4,Mki1_8,131,False,1
All_Toxins_complete_v4,Mki2_8,146,False,22
All_Toxins_complete_v4,Mki3_8,121,False,0
All_Toxins_complete_v4,Mki1_9,128,False,3
All_Toxins_complete_v4,Mki2_9,128,False,3
All_Toxins_complete_v4,Mki3_9,87,False,3
All_Toxins_complete_v4,Mki4_9,86,False,3
All_Toxins_complete_v4,Tam206_Novel,136,False,1
All_Toxins_complete_v4,Tam207_Novel,110,False,0
All_Toxins_complete_v4,Tam202_33,133,False,3
All_Toxins_complete_v4,Tam203_33,132,False,3
All_Toxins_complete_v4,Tam204_Novel,133,False,1
All_Toxins_complete_v4,Tam205_Novel,138,False,1
All_Toxins_complete_v4,Tam208_Novel,107,False,1
All_Toxins_complete_v4,Tam1_12,117,False,1
All_Toxins_complete_v4,Tam1_22,99,False,1
All_Toxins_complete_v4,Tam2_22,93,False,0
All_Toxins_complete_v4,Tam3_22,91,False,1
All_Toxins_complete_v4,Tam4_22,88,False,1
All_Toxins_complete_v4,Tam5_22,94,False,1
All_Toxins_complete_v4,Tam6_22,102,False,1
All_Toxins_complete_v4,Tam1_6,93,False,1
All_Toxins_complete_v4,Tam1_8,123,False,1
All_Toxins_complete_v4,Tam2_8,111,False,0
All_Toxins_complete_v4,Tam3_8,130,False,1
All_Toxins_complete_v4,Tam4_8,111,False,6
All_Toxins_complete_v4,Tam5_8,148,False,1
All_Toxins_complete_v4,Tam6_8,125,False,1
All_Toxins_complete_v4,Tam7_8,132,False,1
All_Toxins_complete_v4,Tam8_8,116,False,1
All_Toxins_complete_v4,Tam9_8,137,False,22
All_Toxins_complete_v4,Tan200_Novel,94,False,20
All_Toxins_complete_v4,Tan201_Novel,105,False,20
All_Toxins_complete_v4,Tan118_1,63,False,16
All_Toxins_complete_v4,Tan169_11,74,False,4
All_Toxins_complete_v4,Tan170_11,69,False,4
All_Toxins_complete_v4,Tan171_13,96,False,4
All_Toxins_complete_v4,Tan172_13,90,False,4
All_Toxins_complete_v4,Tan173_13,93,False,4
All_Toxins_complete_v4,Tan174_13,91,False,4
All_Toxins_complete_v4,Tan175_13,90,False,4
All_Toxins_complete_v4,Tan176_14,116,False,1
All_Toxins_complete_v4,Tan177_14,66,False,4
All_Toxins_complete_v4,Tan178_14,72,False,4
All_Toxins_complete_v4,Tan179_14,72,False,4
All_Toxins_complete_v4,Tan180_15,91,False,1
All_Toxins_complete_v4,Tan181_15,79,False,1
All_Toxins_complete_v4,Tan182_15,93,False,5
All_Toxins_complete_v4,Tan183_15,90,False,5
All_Toxins_complete_v4,Tan184_22,138,False,1
All_Toxins_complete_v4,Tan193_22,105,False,1
All_Toxins_complete_v4,Tan194_22,106,False,1
All_Toxins_complete_v4,Tan195_22,93,False,1
All_Toxins_complete_v4,Tan196_22,95,False,1
All_Toxins_complete_v4,Tan197_22,113,False,1
All_Toxins_complete_v4,Tan198_22,94,False,4
All_Toxins_complete_v4,Tan199_22,102,False,0
All_Toxins_complete_v4,Tan185_22,139,False,1
All_Toxins_complete_v4,Tan186_22,121,False,3
All_Toxins_complete_v4,Tan187_22,107,False,1
All_Toxins_complete_v4,Tan188_22,101,False,1
All_Toxins_complete_v4,Tan189_22,124,False,1
All_Toxins_complete_v4,Tan190_22,118,False,1
All_Toxins_complete_v4,Tan191_Novel,117,False,1
All_Toxins_complete_v4,Tan192_Novel,126,False,1
All_Toxins_complete_v4,Tan119_6,80,False,15
All_Toxins_complete_v4,Tan128_6,98,False,1
All_Toxins_complete_v4,Tan129_6,105,False,1
All_Toxins_complete_v4,Tan130_6,95,False,1
All_Toxins_complete_v4,Tan131_6,87,False,1
All_Toxins_complete_v4,Tan132_6,94,False,1
All_Toxins_complete_v4,Tan133_6,93,False,1
All_Toxins_complete_v4,Tan134_6,93,False,4
All_Toxins_complete_v4,Tan135_6,77,False,2
All_Toxins_complete_v4,Tan136_6,74,False,2
All_Toxins_complete_v4,Tan137_6,75,False,2
All_Toxins_complete_v4,Tan120_6,91,False,15
All_Toxins_complete_v4,Tan121_6,104,False,2
All_Toxins_complete_v4,Tan122_6,98,False,2
All_Toxins_complete_v4,Tan123_6,83,False,4
All_Toxins_complete_v4,Tan124_6,78,False,4
All_Toxins_complete_v4,Tan125_6,81,False,4
All_Toxins_complete_v4,Tan126_6,89,False,1
All_Toxins_complete_v4,Tan127_6,98,False,1
All_Toxins_complete_v4,Tan138_8,114,False,7
All_Toxins_complete_v4,Tan147_8,112,False,0
All_Toxins_complete_v4,Tan148_8,107,False,0
All_Toxins_complete_v4,Tan149_8,100,False,4
All_Toxins_complete_v4,Tan150_8,115,False,6
All_Toxins_complete_v4,Tan151_8,115,False,6
All_Toxins_complete_v4,Tan152_8,114,False,6
All_Toxins_complete_v4,Tan153_8,109,False,6
All_Toxins_complete_v4,Tan139_8,150,False,22
All_Toxins_complete_v4,Tan140_8,140,False,1
All_Toxins_complete_v4,Tan141_8,126,False,0
All_Toxins_complete_v4,Tan142_8,113,False,0
All_Toxins_complete_v4,Tan143_8,118,False,0
All_Toxins_complete_v4,Tan144_8,133,False,1
All_Toxins_complete_v4,Tan145_8,146,False,1
All_Toxins_complete_v4,Tan146_8,113,False,0
All_Toxins_complete_v4,Tan154_9,79,False,1
All_Toxins_complete_v4,Tan163_9,84,False,4
All_Toxins_complete_v4,Tan164_9,90,False,8
All_Toxins_complete_v4,Tan165_9,88,False,8
All_Toxins_complete_v4,Tan166_9,85,False,8
All_Toxins_complete_v4,Tan167_9,85,False,8
All_Toxins_complete_v4,Tan168_9,94,False,8
All_Toxins_complete_v4,Tan155_9,87,False,1
All_Toxins_complete_v4,Tan156_9,95,False,2
All_Toxins_complete_v4,Tan157_9,94,False,2
All_Toxins_complete_v4,Tan158_9,94,False,2
All_Toxins_complete_v4,Tan159_9,87,False,1
All_Toxins_complete_v4,Tan160_9,92,False,4
All_Toxins_complete_v4,Tan161_9,91,False,14
All_Toxins_complete_v4,Tan162_9,82,False,12
All_Toxins_complete_v4,Tar209_Novel,129,False,1
All_Toxins_complete_v4,Tar1_22,91,False,1
All_Toxins_complete_v4,Tar2_22,89,False,1
All_Toxins_complete_v4,Tar210_Novel,86,False,1
All_Toxins_complete_v4,Tar1_6,96,False,2
All_Toxins_complete_v4,Tar1_8,130,False,1
All_Toxins_complete_v4,Tar2_8,132,False,1
All_Toxins_complete_v4,Tar3_8,113,False,1
All_Toxins_complete_v4,Tar4_8,114,False,6
All_Toxins_complete_v4,Tar5_8,126,False,1
All_Toxins_complete_v4,Tar6_8,115,False,0
All_Toxins_complete_v4,Tar7_8,112,False,7
All_Toxins_complete_v4,Tar8_8,132,False,1
All_Toxins_complete_v4,Tar9_8,129,False,1
All_Toxins_complete_v4,Tar1_9,126,False,1
All_Toxins_complete_v4,Tar2_9,83,False,3
All_Toxins_complete_v4,Tar3_9,94,False,8
All_Toxins_complete_v4,Tar4_9,87,False,3
All_Toxins_complete_v4,Tar5_9,146,False,1
All_Toxins_complete_v4,Tar6_9,88,False,8
All_Toxins_complete_v4,Tar211_Novel,133,False,21
All_Toxins_complete_v4,Tare1_8,115,False,7
All_Toxins_complete_v4,Tare2_8,165,False,22
All_Toxins_complete_v4,Tare3_8,143,False,22
All_Toxins_complete_v4,Tare4_8,143,False,22
All_Toxins_complete_v4,Tba213_Novel,129,False,1
All_Toxins_complete_v4,Tba214_Novel,78,False,1
All_Toxins_complete_v4,Tba212_Novel,71,False,6
All_Toxins_complete_v4,Tba215_Novel,133,False,21
All_Toxins_complete_v4,Tba1_14,68,False,4
All_Toxins_complete_v4,Tba2_14,71,False,4
All_Toxins_complete_v4,Tba1_22,91,False,1
All_Toxins_complete_v4,Tba2_22,135,False,1
All_Toxins_complete_v4,Tba3_22,89,False,1
All_Toxins_complete_v4,Tba4_22,99,False,1
All_Toxins_complete_v4,Tba1_6,96,False,1
All_Toxins_complete_v4,Tba2_6,81,False,15
All_Toxins_complete_v4,Tba3_6,75,False,15
All_Toxins_complete_v4,Tba4_6,74,False,15
All_Toxins_complete_v4,Tba1_8,118,False,1
All_Toxins_complete_v4,Tba10_8,126,False,6
All_Toxins_complete_v4,Tba11_8,126,False,6
All_Toxins_complete_v4,Tba12_8,135,False,1
All_Toxins_complete_v4,Tba13_8,130,False,1
All_Toxins_complete_v4,Tba2_8,132,False,1
All_Toxins_complete_v4,Tba3_8,129,False,1
All_Toxins_complete_v4,Tba4_8,115,False,0
All_Toxins_complete_v4,Tba5_8,154,False,1
All_Toxins_complete_v4,Tba6_8,137,False,1
All_Toxins_complete_v4,Tba7_8,125,False,1
All_Toxins_complete_v4,Tba8_8,113,False,1
All_Toxins_complete_v4,Tba9_8,138,False,1
