filename,sequence_id,sequence_length,background,cluster
ConoToxins,P0C828|K,30,False,24
ConoToxins,P0C8E3|Ca,24,False,12
ConoToxins,P0DKZ0|Ca,18,False,38
ConoToxins,P0C8E0|Ca,19,False,26
ConoToxins,P17684|Ca,21,False,12
ConoToxins,Q9XZK9|Ca,24,False,3
ConoToxins,P05485|Ca,25,False,13
ConoToxins,P0CY66|Ca,25,False,30
ConoToxins,P0DL31|Ca,40,False,2
ConoToxins,P81790|Ca,76,False,49
ConoToxins,P68424|Ca,28,False,43
ConoToxins,P0CY82|K,36,False,9
ConoToxins,A3DT44|K,29,False,56
ConoToxins,P0CAQ2|K,36,False,9
ConoToxins,P0CAQ3|K,37,False,70
ConoToxins,P0CE75|K,37,False,24
ConoToxins,P0C829|K,42,False,24
ConoToxins,P0C2C6|K,24,False,64
ConoToxins,P69500|K,33,False,57
ConoToxins,P0C258|K,31,False,36
ConoToxins,P0C615|K,32,False,37
ConoToxins,C7DQY0|K,44,False,57
ConoToxins,Q0N4U4|K,25,False,50
ConoToxins,Q0N4U7|K,25,False,50
ConoToxins,Q0N4U3|K,25,False,53
ConoToxins,Q0N4U8|K,25,False,44
ConoToxins,P0C6S2|K,27,False,42
ConoToxins,P0C6S3|K,28,False,27
ConoToxins,P0CG45|K,25,False,65
ConoToxins,P69769|K,24,False,21
ConoToxins,P84713|K,13,False,46
ConoToxins,P56633|K,27,False,66
ConoToxins,P0CY85|K,64,False,19
ConoToxins,P0C1X2|K,60,False,19
ConoToxins,P83047|K,9,False,62
ConoToxins,B3SVF1|K,30,False,14
ConoToxins,B3SVF0|K,30,False,14
ConoToxins,P58923|Na,30,False,51
ConoToxins,P15472|Na,34,False,72
ConoToxins,P0C256|Na,43,False,23
ConoToxins,P0C257|Na,45,False,17
ConoToxins,P0C259|Na,42,False,17
ConoToxins,Q7Z090|Na,40,False,45
ConoToxins,P0C612|Na,38,False,31
ConoToxins,Q7Z095|Na,46,False,23
ConoToxins,Q7Z096|Na,43,False,23
ConoToxins,Q7Z0A5|Na,44,False,23
ConoToxins,P0C349|Na,22,False,59
ConoToxins,C1J5M5|Na,23,False,16
ConoToxins,P0C1T9|Na,22,False,16
ConoToxins,P0C1U1|Na,22,False,16
ConoToxins,P01523|Na,22,False,22
ConoToxins,P0C195|Na,16,False,16
ConoToxins,P58925|Na,22,False,71
ConoToxins,P60207|Na,22,False,16
ConoToxins,Q86DU6|Na,20,False,16
ConoToxins,C1J5M6|Na,24,False,16
ConoToxins,P0C1U0|Na,25,False,0
ConoToxins,P01524|Na,22,False,22
ConoToxins,P0CH16|Na,22,False,68
ConoToxins,P0C8V3|Na,23,False,26
ConoToxins,C1J5M7|Na,26,False,16
ConoToxins,Q9BP55|Na,17,False,35
ConoToxins,P0C8V5|Na,32,False,54
ConoToxins,P0CB09|Na,27,False,11
ConoToxins,P0C8V6|Na,32,False,54
ConoToxins,P58913|Na,29,False,54
ConoToxins,Q26443|Na,31,False,1
ConoToxins,P60179|Na,26,False,58
ConoToxins,P69748|Na,27,False,1
ConoToxins,P69749|Na,27,False,57
ConoToxins,P69750|Na,31,False,1
ConoToxins,P60513|Na,32,False,34
ConoToxins,Q9TWM7|Na,29,False,0
ConoToxins,P69753|Na,32,False,1
ConoToxins,P69755|Na,32,False,54
ConoToxins,P0CC15|Na,32,False,54
ConoToxins,A6YR20|Na,45,False,52
ConoToxins,Q1A3R1|Na,12,False,25
ConoToxins,Q9U657|Na,31,False,6
ConoToxins,P58927|Na,17,False,35
ConoToxins,P0DKQ9|Na,21,False,59
ConoToxins,P24159|Na,27,False,11
ConoToxins,P0CH13|Na,28,False,3
ConoToxins,Q9U656|Na,27,False,11
ConoToxins,P17727|Na,78,False,48
